status,product_name,manufacturer,description
Enabled,WEBx8 - Scalable Web server appliance,CA Technologies - AppLogic Appliances,"WEBx8 is a scalable web server that consists of a single load balancer (HLB) and eight web servers (WEB5).
<br><br>
WEBx8 serves static web content and executes scripts from a user-configurable read-only content volume. The paths to the documents and scripts are configurable, so that the same volume can be shared between multiple web servers and/or other appliances serving different content.
<br><br>
WEBx8 has three generic output terminals intended for accessing external services from scripts on the content volume. The db terminal is for accessing a MySQL database; the fs terminal is for accessing shared file storage (using NFS); and the aux terminal is for sending e-mail messages to an SMTP server.
<br><br>
The log terminal can be used to connect WEBx8 to a shared file system on which WEBx8 can store its logs.
<br><br>
The configuration of the web server is provided through properties. The properties are designed to cover the most uses in an easy-to-configure way and in most cases only a few need to be set to non-default values. Advanced configurations can be achieved through include files in the Apache configuration format, coming from the content volume. Access and options to content and script files can be further specialized through .htaccess files in the content directories.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatWebserversWebx8.html"" target=""_blank"">WEBx8 - Scalable Web Server Appliance Documentation</a>
<br><br>"
Enabled,NAS - file server/NAS box (samba + http interface),CA Technologies - AppLogic Appliances,"The NAS appliance is a shared file storage appliance. It provides file storage accessible over HTTP, NFS, and CIFS file protocols.
<br><br>
The NAS appliance serves files contained within a configured (pluggable) data volume thus providing the ability for the content served by the appliance to be changed easily as well as the ability for the volume to have varied sizes. For example, if NAS is being used to store log files, the data volume does not need to be as large as what may be needed to store content for an apache server.
<br><br>
The root directory of the volume is shared and the HTTP, NFS, and CIFS (samba) servers see the same volume, at the same root. The NFS server exposes the volume as a shared named /mnt/data. The CIFS server exposes the volume as a share named share. The root directory of the volume is accessible for read-only access by the HTTP server and for read-write access by the NFS and CIFS (samba) server.
<br><br>
The security for http access may be open (no user/pwd), fixed single user/pwd (from property) or from .htpasswd file stored within the root directory of the data volume.
<br><br>
The CIFS access is anonymous. It is assumed that only appliances that are allowed to access the volume are connected to the cifs terminal. This eliminates the need to configure complex security settings on the client and server and makes it possible to simply connect appliances that need file access to the cifs input.
<br><br>
There are three key use cases for the NAS appliance:
<br><br>
Serving large files over HTTP. The cifs interface is used to add/remove files (usually exported over a separate gateway)
<br><br>
As a shared file server through which other appliances/servers exchange files (fully internal to the application)
<br><br>
As a log server through which other appliances/servers store their log files so that those logs may be easily accessed/viewed by an administrator rather than having to log into each individual appliance.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatMiscNas.html"" target=""_blank"">NAS Appliance Documentation</a>
<br><br>"
Enabled,NASR - file server/NAS box with replication,CA Technologies - AppLogic Appliances,"The NASR appliance is a shared file storage appliance. It provides file storage accessible over HTTP, NFS, and CIFS file protocols as well as web interface for managing files. Additionally, two NASR appliances can be configured in a master-slave synchronization mode so that content on the master is replicated to the slave.
<br><br>
The NASR appliance serves files contained within a configured (pluggable) data volume thus providing the ability for the content served by the appliance to be changed easily as well as the ability for the volume to have varied sizes. For example, if NASR is being used to store log files, the data volume does not need to be as large as what may be needed to store content for an apache server.
<br><br>
The root directory of the volume is shared and the HTTP, NFS, and CIFS (samba) servers see the same volume, at the same root. The NFS server exposes the volume as a shared named /mnt/data. The CIFS server exposes the volume as a share named 'share'. The root directory of the volume is accessible for read-only access by the HTTP server and for read-write access by the NFS and CIFS (samba) server.
<br><br>
The CIFS access is anonymous. It is assumed that only appliances that are allowed to access the volume are connected to the cifs terminal. This eliminates the need to configure complex security settings on the client and server and makes it possible to simply connect appliances that need file access to the cifs input.
<br><br>
In its default configuration NASR serves as a regular NAS appliance. When configured, two NASR appliances can run in master-slave replication so that data on the master is kept replicated on the slave.
<br><br>
Replication is one way only, any changes on the slave are not replicated to the master. The replication is asynchronous and is triggered by file changes on the master's data volume. Data is replicated using rsync over its native protocol.
<br><br>
There are several key use cases for the NASR appliance:
<br><br>
Serving large files over HTTP. Files may be added through the file manager or via the cifs/nfs terminals.
<br><br>
As a shared file server through which other appliances/servers exchange files (fully internal to the application)
<br><br>
As a log server through which other appliances/servers store their log files so that those logs may be easily accessed/viewed by an administrator rather than having to log into each individual appliance.
<br><br>
As a replicated file storage (in any of the above cases) providing synchronized storage between two instances of an application (possibly running in different locations).
<br><br>
NASR provides provides GUI access to its data volume which allows easy management of the content while the appliance is running.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatMiscNasr.html"" target=""_blank"">NASR Appliance Documentation</a>
<br><br>"
Enabled,LOAD - Load Generator,CA Technologies - AppLogic Appliances,"LOAD is a load generator which generates HTTP requests on its out terminal.
<br><br>
Load generation is controlled through a simple web interface (GUI) exposed by LOAD. The GUI is accessed through the ctl terminal. The GUI also displays historical results of load generation.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatMiscLoad.html"" target=""_blank"">LOAD - Load Generator Documentation</a>
<br><br>"
Enabled,SQUID - SQUID Proxy,CA Technologies - AppLogic Appliances,"SQUID is a caching forward or reverse proxy appliance. SQUID acts as an agent, accepting HTTP requests from clients on its in terminal and passing them to the appropriate server connected to the out terminal. It stores a copy of the returned data in a memory and in an on-disk cache. When the same data is requested multiple times, cached data is returned to the client, speeding up access and decreasing source server load.
<br><br>
SQUID supports two modes of operation, proxy and web-accelerator. 
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatMiscSQUID.html"" target=""_blank"">SQUID - SQUID Proxy Documentation</a>
<br><br>"
Enabled,HALB - Session-aware HTTP Load Balancer ,CA Technologies - AppLogic Appliances,"HALB is a switch for distributing workload to multiple Web servers of the same or different type. HALB is based on the HAProxy TCP/HTTP load balancing software package; which is designed to be extremely fast while consuming little resources.
<br><br>
HALB performs load-balancing functions using several algorithms. It performs simple round-robin balancing, equalizing the load for backend servers. It also supports persistent sessions, binding the client to a particular backend web server with session cookies or by using the request source ip address as a key. While using session cookies, any new sessions that do not have session cookies are distributed using the round-robin algorithm. HALB supports sessions with multiple cookies and modifies and/or tracks only the necessary ones, leaving others intact. Any particular session or client may be tied to particular backend web server or application using cookie association. Existing cookies may be transparently modified by HALB for clients that do not support requests with multiple cookies.
<br><br>
HALB constantly monitors the health state of all backend web servers. The health state checks conducted by HALB may include a simple TCP connect check or a more complex HTTP request (specified on HALB's boundary). In the case of a server failure detected by HALB using the parameterized health check method, HALB switches the traffic to an alternate server. If the failed server eventually recovers, HALB may switch the traffic back to the recovered server.
<br><br>
HALB exposes a web service interface on its ctl terminal. This interface allows a user to programmically enable/disable output terminals out1 - out8 and also to retrieve the state of all terminals. This is useful in cases when there is some kind of backend failure (i.e., such as in a database or storage appliance) where the application itself can automatically disable traffic to a specific set of servers. Note that in this case, HALB itself is unable to detect this type of failure; so it is up to the application to detect the failure and disable the corresponding set of backend servers.
<br><br>
HALB maintains detailed statistics including backend state, number of requests processed per server, number of errors occured, etc. The statistics are reported through the mon terminal and separate counters are also exposed through the ui terminal as a GUI accessible with a browser.
<br><br>
HALB is designed to be extremely fast using very few resources. Under regular conditions, HALB consumes about 25KB of memory for every session, or 1GB for 40000 simultaneous sessions, and processes up to 6000 requests per second.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatSwitchesHalb.html"" target=""_blank"">HALB - Session-aware HTTP load balancer based on HA Proxy</a>
<br><br>"
Enabled,L3LB - TCP/UDP Load Balancer,CA Technologies - AppLogic Appliances,"L3LB is a switch for distributing incoming TCP/UDP sessions to servers of the same or different type. TCP load balancing functionality is based on the HAProxy TCP/HTTP load balancing software package; UDP load balancing is based on Netfilter.
<br><br>
L3LB load-balances the incoming traffic using several different algorithms. For TCP traffic L3LB performs simple round-robin load-balancing, equalizing the load for the backend servers. For TCP L3LB also supports persistent sessions, binding the client to a particular backend server by using the request source IP address as a key. For UDP traffic, L3LB uses the round-robin algorithm (this is the only algorithm available for UDP traffic).
<br><br>
L3LB constantly monitors the health state of all backend servers. While in TCP mode, the health state checks conducted by L3LB consist of a simple TCP connect check. In the case of a server failure detected by L3LB using the parameterized health check method, L3LB switches the traffic to an alternate server. If the failed server eventually recovers, L3LB may switch the traffic back to the recovered server. For UDP mode an ICMP PING is used to verify availability of a backend server.
<br><br>
L3LB exposes a web service interface on its ctl terminal. This interface allows a user to programmically enable/disable output terminals out1 - out8 and also to retrieve the state of all terminals. This is useful in cases when there is some kind of backend failure (i.e., such as in a database or storage appliance) where the application itself can automatically disable traffic to a specific set of servers. Note that in this case, L3LB itself is unable to detect this type of failure; so it is up to the application to detect the failure and disable the corresponding set of backend servers.
<br><br>
L3LB is designed to be extremely fast using very few resources. Under regular conditions, L3LB consumes about 25KB of memory for every session, or 1GB for 40000 simultaneous sessions, and processes up to 6000 requests per second.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatSwitchesL3LB.html"" target=""_blank"">L3LB - TCP/UDP Load Balancer Documentation</a>
<br><br>"
Enabled,PS8 - Scalable Port Switch,CA Technologies - AppLogic Appliances,"PS8 is a switch for distributing TCP and UDP traffic to different outputs depending on the incoming request's protocol and port number. PS8 is parameterized to recognize specific protocols and ports for requests received on its in terminal. The recognized incoming traffic is forwarded through the specified output terminal based upon PS8's parameterization. Optionally, the forwarded traffic's port may be overidden by PS8. For example, PS8 can be used to forward all incoming TCP traffic on port 80 through the out5 output terminal on port 8080.
<Br><br>
The switch is cascadable; incoming traffic that is not TCP, UDP or doesn't match the parameterized port numbers is forwarded through the aux terminal without modification. All incoming traffic received on the outX and aux terminals is forwarded back through the in terminal.
<Br><br>
PS8 is typically used to route incoming traffic to different appliances within an application.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatSwitchesPS8.html"" target=""_blank"">PS8 - Scalable Port Switch Documentation</a>
<br><br>
"
Enabled,RPL - Event Replicator,CA Technologies - AppLogic Appliances,"RPL is a replicator for events. It replicates HTTP requests received on its input terminal to all its output terminals.
<br><br>
RPL sends any headers and documents received with the request to the outputs. RPL ignores the responses from the output requests, including possible failures to send the request. RPL always returns SUCCESS for recognized HTTP requests on its input, without waiting for any of the outputs to respond. For requests that require a document to be returned, RPL returns an empty document.
<br><br>
RPL is intended for distributing fire-and-forget asynchronous notifications. (Future versions of RPL may have additional parameterization that modifies its behavior, including aggregating the responses from outputs and returning them on the input).
<br><br>
RPL can tolerate, and indeed expects under normal circumstances, any of its outputs being unconnected or non-responsive. Appliances connected to RPL's outputs may be stopped, on standby or non-responsive, without this affecting the operation and performance of RPL.
<br><br>
RPL can be cascaded by connecting other RPL instances to one or more of RPL's outputs.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatSwitchesRpl.html"" target=""_blank"">RPL - Event Replicator Documentation</a>"
Enabled,URLSW - URL Port Switch,CA Technologies - AppLogic Appliances,"URLSW is a switch which distributes HTTP requests to different outputs based on matching the request URI or request headers against rules, defined as regular expressions, on the appliance boundary. URLSW is used in applications that have more then one web or application server appliances to flexibly distribute HTTP requests among them. URLSW operates similar to it's counterpart PS8, but on a higher level - it analyzes HTTP requests instead of tcp/udp ports.
<br><br>
URLSW also has an embedded heath checker. Health checker periodically polls connected out terminals and determines whether the servers are ready to process requests. If any of checked servers becomes non-functional, URLSW automatically disables request flow for this server by redirecting request to other most appropriate ""live"" server. When previously non-operational server comes back alive it will be automatically detected by health checker and continues to receive requests.<br><br>
The switch is cascadable; incoming traffic that does not match any defined regular expression is forwarded through the aux terminal without any modification. All incoming traffic received on the outX and aux terminals is forwarded back through the in terminal.
<br><br>
URLSW is typically used to route incoming traffic to different appliances within an application.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatSwitchesURLSW.html"" target=""_blank"">URLSW - URL Port Switch Documentation</a>
<br><br>"
Enabled,IN - Input gateway with firewall (iptables),CA Technologies - AppLogic Appliances,"IN is an input gateway that provides a firewalled entry point for network traffic into an application.
<br><br>
IN accepts all allowed incoming traffic on its external interface and passes it through its out terminal. IN forwards only the traffic explicitly allowed through configuration of its firewall properties; IN discards all disallowed traffic.
<br><br>
IN supports up to 4 incoming interfaces (protocol/pair combinations), such as http, ssh, etc. By default, IN allows only tcp port 80 (http).
<br><br>
IN is used to accept all network traffic for applications. All external traffic must pass through an IN gateway to access any resources or services within an application.
<Br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>"
Enabled,INSSLR - Redundant HTTP Input Gateway with SSL Support,CA Technologies - AppLogic Appliances,"The INSSLR appliance is a layer-7 gateway for secure HTTP requests. It converts the requests to unencoded HTTP requests. This can be used whenever it is necessary to support secure HTTP on the client's side, but the back-end processing infrastructure does not or cannot support SSL, including:
<br><br>
using a fast and light-weight HTTP server that does not have SSL support
<br><br>
using multiple back-end servers, for performance or for redundancy, connected through a load-balancing switch
<br><br>
using multiple back-end servers for unrelated functions, connected through a URL switch
<br><br>
offloading the SSL encryption/decryption to a separate server to improve throughput
<br><br>
If configured, INSSLR also supports client certificate authentication. In the case of SSL mutual authentication, both the client and server exchange their certificates and corresponding public keys. The client may contact the certificate authority (CA) which issued the server's certificate and confirm the certificate is authentic before proceeding. The server may do likewise.
<br><br>
In its default configuration INSSLR acts as a layer-7 gateway for secure HTTP requests, also providing firewalled entry point for network traffic into an AppLogic application, which can be configured with an Internet-accessible static IP address.
<br><br>
When configured, two INSSLR appliances can be used in failover mode to provide a redundant service. In this case, INSSLR IP address (configured via ip_addr) is running on only one of the nodes and is automatically transferred to the other INSSLR appliance in case of failure. At any given moment, only one of the INSSLR appliance is active. When running in failover mode INSSLR can be configured to run in several modes:
<br><br>
asymmetric - one of the appliances is primary and whenever it is online it takes over the IP address and becomes active. The backup appliance becomes active only if the primary node fails (or is stopped). Whenever the primary appliance becomes available again, it takes over the IP address and becomes active. The primary appliance is the one with the lowest IP address (string comparison) as set in the fover_local_ip property.
<br><br>
symmetric - both appliances are primary and whichever appliance starts first takes over the IP address and becomes active. The other appliance becomes active only if the first appliance fails (or is stopped). Whenever the first appliance becomes available again, it does not automatically take over the IP address.
<br><br>
When running in redundant mode, INSSLR provides an interface on its ctl terminal for:
<br><br>
forcing INSSLR to become primary
<br><br>
forcing INSSLR to become backup
<br><br>
check the state of INSSLR (primary/backup)
<br><br>
INSSLR constantly monitors the health state of the backend appliance connected to its http terminal. The health state checks conducted by INSSLR may include a simple TCP connect check or a more complex HTTP request (specified on INSSLR's boundary). In the case of a failure of the connected appliance, INSSLR reports an error to the grid dashboard or, if in redundant mode and configured to do so, it does a failover to the backup INSSLR appliance.
<br><br>
To support applications that need to appear at a single IP address for more than one service, INSSLR can be configured to direct non-HTTP traffic transparently to a separate output terminal. For such connections, the appliance acts as a layer-3 firewall/NAT router.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>"
Enabled,OUT - Single host output gateway with firewall (iptables),CA Technologies - AppLogic Appliances,"OUT is an output gateway that provides access to a network host located outside of an application. OUT accepts traffic from the application on its in terminal and forwards it through its external interface to the remote host.
<br><br>
OUT has a firewall that allows only outgoing traffic (connections and datagrams); it drops incoming traffic that is not for an already established connection or related to a datagram request.
<br><br>
OUT passes all traffic to the remote host specified by the remote_host property. The remote host can be specified either as a DNS host name (e.g., www.3tera.com) or as an IP address in ""dots"" notation (e.g., 192.168.1.1). If the remote host is configured using a DNS name, the OUT gateway will ensure that if the name-to-IP mapping changes, the gateway will redirect its traffic to the new IP address.
<br><br>
OUT is used to access services outside of the application, such as an external database, web service or document repository. OUT is the only appliance in an application that needs to be configured with the name or IP address of the remote host; the remaining application components can access that host simply by being connected to the OUT appliance input.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/CatGatewayOut.html"" target=""_blank"">OUT: Single Host Output Gateway Appliance Documentation</a>
<br><br>"
Enabled,NET - Network output gateway with firewall (iptables),CA Technologies - AppLogic Appliances,"NET is an output gateway that provides outgoing access to a network outside of an application. NET accepts traffic from the application on its in terminal and forwards it through its external interface to the outside network (e.g., the Internet).<br><br>
NET has a firewall that allows only outgoing traffic (connections and datagrams); it drops incoming traffic that is not for an already established connection or related to a datagram request. NET can be configured to further limit the set of IP addresses reachable through it.<br><br>
NET serves as a default network gateway and DNS server for the appliance(s) connected to its in terminal. <br><br>
 Only gateway output terminals should be connected to NET's in terminal.<br><br>
NET is used for accessing services outside of an application whose host names are determined at runtime (e.g., mail server addresses obtained from MX DNS records or search engine bots that need to traverse the web).
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatGatewayNet.html"" target=""_blank"">NET - Network output gateway with firewall (iptables) Documentation</a>
<br><br>"
